"Table 3.  Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2022&region=1-3&cases=ref2022~highmacro~lowmacro~highprice~lowprice~highogs~lowogs~hirencst~lorencst~ng_iif_final&start=2020&end=2050&f=A&linechart=ref2022-d011222a.3-3-AEO2022.1-3~highmacro-d011622a.3-3-AEO2022.1-3~lowmacro-d011222a.3-3-AEO2022.1-3~highprice-d011222a.3-3-AEO2022.1-3~lowprice-d011222a.3-3-AEO2022.1-3~highogs-d011222a.3-3-AEO2022.1-3~lowogs-d011222a.3-3-AEO2022.1-3~hirencst-d011322a.3-3-AEO2022.1-3~lorencst-d011222a.3-3-AEO2022.1-3~ng_iif_final-d011322a.3-3-AEO2022.1-3~ref2022-d011222a.4-3-AEO2022.1-3~highmacro-d011622a.4-3-AEO2022.1-3~lowmacro-d011222a.4-3-AEO2022.1-3~highprice-d011222a.4-3-AEO2022.1-3~lowprice-d011222a.4-3-AEO2022.1-3~highogs-d011222a.4-3-AEO2022.1-3~lowogs-d011222a.4-3-AEO2022.1-3~hirencst-d011322a.4-3-AEO2022.1-3~lorencst-d011222a.4-3-AEO2022.1-3~ng_iif_final-d011322a.4-3-AEO2022.1-3~ref2022-d011222a.5-3-AEO2022.1-3~highmacro-d011622a.5-3-AEO2022.1-3~lowmacro-d011222a.5-3-AEO2022.1-3~highprice-d011222a.5-3-AEO2022.1-3~lowprice-d011222a.5-3-AEO2022.1-3~highogs-d011222a.5-3-AEO2022.1-3~lowogs-d011222a.5-3-AEO2022.1-3~hirencst-d011322a.5-3-AEO2022.1-3~lorencst-d011222a.5-3-AEO2022.1-3~ng_iif_final-d011322a.5-3-AEO2022.1-3~ref2022-d011222a.6-3-AEO2022.1-3~highmacro-d011622a.6-3-AEO2022.1-3~lowmacro-d011222a.6-3-AEO2022.1-3~highprice-d011222a.6-3-AEO2022.1-3~lowprice-d011222a.6-3-AEO2022.1-3~highogs-d011222a.6-3-AEO2022.1-3~lowogs-d011222a.6-3-AEO2022.1-3~hirencst-d011322a.6-3-AEO2022.1-3~lorencst-d011222a.6-3-AEO2022.1-3~ng_iif_final-d011322a.6-3-AEO2022.1-3&map=highmacro-d011622a.3-3-AEO2022.1-3&sourcekey=0"
"Tue Apr 26 2022 15:21:48 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2021-2050)"
High oil price,"Energy Prices: Transportation: Propane": High oil price,3-AEO2022.26.highprice-d011222a,"2021 $/MMBtu",,17.68329,22.688837,23.351671,23.324677,23.372381,23.580675,24.017363,24.65521,25.26478,25.752434,26.127146,26.439859,26.626324,26.672171,26.853115,26.97044,27.169071,27.426022,27.663326,28.002459,28.095484,28.224062,28.312109,28.337111,28.501633,28.563154,28.758808,28.890478,29.091038,29.279367,"1.8%"
Low oil price,"Energy Prices: Transportation: Propane": Low oil price,3-AEO2022.26.lowprice-d011222a,"2021 $/MMBtu",,17.685377,12.549603,11.874367,12.047501,12.193601,12.284023,12.276292,12.573708,12.727224,12.879588,13.037185,13.203631,13.391297,13.529305,13.776881,13.927412,14.018146,14.027268,14.038741,13.975439,13.940207,13.931655,13.893717,13.986175,14.015687,14.021636,14.016809,14.033463,14.035467,14.13145,"-0.8%"
High oil and gas supply,"Energy Prices: Transportation: Propane": High oil and gas supply,3-AEO2022.26.highogs-d011222a,"2021 $/MMBtu",,17.685305,17.901209,15.993814,15.46874,15.171556,15.105174,15.167962,15.386976,15.647455,15.816411,15.935633,16.228312,16.505173,16.56448,16.55468,16.601826,16.730635,16.915945,16.965094,17.190029,17.252529,17.281885,17.324619,17.344231,17.364674,17.35161,17.289549,17.23654,17.319799,17.342003,"-0.1%"
Low oil and gas supply,"Energy Prices: Transportation: Propane": Low oil and gas supply,3-AEO2022.26.lowogs-d011222a,"2021 $/MMBtu",,17.684322,18.933752,17.873383,18.624817,19.114565,19.595076,20.078505,20.661634,21.698887,22.316063,22.883705,23.411974,23.842129,24.188456,24.347004,24.715322,24.904646,25.155716,25.399502,25.434359,25.432941,25.421503,25.568832,25.846476,26.126387,26.270594,26.371889,26.406305,26.534536,26.553738,"1.4%"
High renewables cost,"Energy Prices: Transportation: Propane": High renewables cost,3-AEO2022.26.hirencst-d011322a,"2021 $/MMBtu",,17.685295,18.318886,16.780457,16.839664,16.813833,16.962421,17.316416,17.772093,18.157143,18.443794,18.718721,19.063375,19.285961,19.449919,19.528488,19.663755,19.782726,19.903296,19.984261,20.221436,20.305603,20.338951,20.49584,20.68358,20.770926,20.917288,20.995422,21.000467,20.99789,21.00421,"0.6%"
Low renewables cost,"Energy Prices: Transportation: Propane": Low renewables cost,3-AEO2022.26.lorencst-d011222a,"2021 $/MMBtu",,17.684143,18.276241,16.777168,16.768465,16.684475,16.80364,17.097492,17.602083,17.937243,18.216471,18.42572,18.608164,18.835415,19.005266,19.106197,19.203844,19.36466,19.512306,19.579113,19.826624,20.021595,20.063326,20.142143,20.223776,20.221638,20.269014,20.313601,20.337288,20.283401,20.266752,"0.5%"
No Interstate Pipeline Builds,"Energy Prices: Transportation: Propane": No Interstate Pipeline Builds,3-AEO2022.26.ng_iif_final-d011322a,"2021 $/MMBtu",,17.684681,18.297506,16.76034,16.737219,16.638414,16.792315,17.156912,17.613777,17.987537,18.313055,18.599106,18.901741,19.082075,19.212675,19.323006,19.44589,19.613607,19.789383,19.809919,20.038645,20.237614,20.350803,20.497238,20.689075,20.804823,20.974058,21.062765,21.083355,21.107645,21.122244,"0.6%"
E85,"Energy Prices: Transportation: E85",3-AEO2022.27.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Transportation: E85": AEO2022 Reference case,3-AEO2022.27.ref2022-d011222a,"2021 $/MMBtu",,25.084902,25.084902,26.041431,25.788145,25.468914,25.722094,26.034859,26.32118,26.537724,27.227119,27.612854,27.955154,28.083916,28.435419,28.685072,28.702501,28.863941,29.227991,29.194469,29.433088,29.621355,29.648563,29.933777,30.229633,30.315462,30.575375,30.677425,30.597105,30.620924,30.598845,"0.7%"
High economic growth,"Energy Prices: Transportation: E85": High economic growth,3-AEO2022.27.highmacro-d011622a,"2021 $/MMBtu",,25.025581,25.025581,25.971663,26.303865,26.086796,26.357569,26.971199,27.055559,27.264687,28.096905,28.335691,28.790571,28.931917,29.055128,29.216955,29.316614,29.752956,29.960358,29.946281,30.064951,30.348585,30.607775,30.934835,30.955029,31.116169,31.290144,31.301491,31.461733,31.790768,31.903507,"0.8%"
Low economic growth,"Energy Prices: Transportation: E85": Low economic growth,3-AEO2022.27.lowmacro-d011222a,"2021 $/MMBtu",,25.12508,25.12508,25.75132,25.417921,25.147505,25.180597,25.480963,25.724424,25.899458,26.327065,26.384035,26.983843,27.175743,27.285498,27.350895,27.36133,27.499062,27.687971,27.637012,28.055351,28.283627,28.531763,28.876575,29.078751,29.1803,29.44533,29.500624,29.581057,29.686674,29.414003,"0.5%"
High oil price,"Energy Prices: Transportation: E85": High oil price,3-AEO2022.27.highprice-d011222a,"2021 $/MMBtu",,25.084902,39.387047,39.510777,39.670822,39.538193,40.462231,40.927238,41.248512,41.56554,41.520695,41.321308,41.557484,41.225002,41.61713,42.026428,42.096565,42.29866,42.259205,42.563568,42.613758,42.386608,42.716526,42.889683,42.843983,43.506527,43.61388,44.112358,44.556992,45.020409,45.630692,"2.1%"
Low oil price,"Energy Prices: Transportation: E85": Low oil price,3-AEO2022.27.lowprice-d011222a,"2021 $/MMBtu",,25.084902,22.791151,20.882812,20.204826,19.977665,19.880999,19.505529,19.748056,19.902651,20.070286,20.37718,20.613503,20.781101,20.827213,21.069866,21.516285,21.796759,22.36956,22.2356,22.200928,22.082657,22.148098,22.134924,22.277069,22.263964,22.329567,22.419632,22.447365,22.51029,22.623156,"-0.4%"
High oil and gas supply,"Energy Prices: Transportation: E85": High oil and gas supply,3-AEO2022.27.highogs-d011222a,"2021 $/MMBtu",,25.084902,25.084902,25.581686,24.710129,24.327202,24.508743,24.860571,24.841557,25.021751,25.407034,25.806915,26.009068,25.789053,26.017138,26.040165,25.801777,25.649853,26.159735,26.013783,26.767286,26.875307,26.923965,27.092262,27.173307,27.217299,27.151892,27.028698,27.203869,27.463999,27.731104,"0.3%"
Low oil and gas supply,"Energy Prices: Transportation: E85": Low oil and gas supply,3-AEO2022.27.lowogs-d011222a,"2021 $/MMBtu",,25.084902,25.084902,25.914341,26.833994,27.034636,27.37047,27.833944,28.309189,29.390678,30.029602,30.490042,31.055027,31.460491,31.858868,32.035065,32.265224,32.540165,32.642719,32.85984,32.474827,32.33633,32.758095,33.080288,33.233212,33.717842,33.584148,33.55851,33.300133,33.547573,33.726181,"1.0%"
High renewables cost,"Energy Prices: Transportation: E85": High renewables cost,3-AEO2022.27.hirencst-d011322a,"2021 $/MMBtu",,25.084902,25.084902,25.880409,25.58095,25.286982,25.559147,25.899193,26.087252,26.395525,26.970953,27.322939,27.784754,27.798531,28.233902,28.531307,28.524584,28.665632,29.024134,28.975416,29.096056,29.284428,29.343273,29.662476,29.983166,30.117384,30.33799,30.437296,30.453823,30.205574,30.283516,"0.7%"
Low renewables cost,"Energy Prices: Transportation: E85": Low renewables cost,3-AEO2022.27.lorencst-d011222a,"2021 $/MMBtu",,25.084902,25.084902,26.113989,25.778601,25.454494,25.729925,26.007385,26.313175,26.592316,27.184549,27.605247,27.957069,28.086729,28.441942,28.598133,28.722603,28.927402,29.208792,29.229618,29.397011,29.581959,29.646103,29.908442,30.25897,30.383869,30.579279,30.665619,30.646351,30.653105,30.575918,"0.7%"
No Interstate Pipeline Builds,"Energy Prices: Transportation: E85": No Interstate Pipeline Builds,3-AEO2022.27.ng_iif_final-d011322a,"2021 $/MMBtu",,25.084902,25.084902,26.065586,25.801895,25.464933,25.768509,26.019297,26.32357,26.627905,27.226894,27.623512,28.007729,28.117949,28.494883,28.619287,28.739576,28.898052,29.27532,29.240507,29.440889,29.625895,29.629938,29.952261,30.319536,30.418024,30.60214,30.648573,30.819046,30.681082,30.658083,"0.7%"
Motor Gasoline,"Energy Prices: Transportation: Motor Gasoline",3-AEO2022.28.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Transportation: Motor Gasoline": AEO2022 Reference case,3-AEO2022.28.ref2022-d011222a,"2021 $/MMBtu",,25.560938,24.526081,21.696604,21.485573,21.219603,21.430544,21.691124,21.929676,22.110092,22.684465,22.977985,23.234699,23.36998,23.576843,23.673157,23.855852,24.019079,24.292604,24.294125,24.522385,24.671762,24.701908,24.939537,25.186031,25.257542,25.474089,25.559113,25.492193,25.512037,25.493641,"-0.0%"
High economic growth,"Energy Prices: Transportation: Motor Gasoline": High economic growth,3-AEO2022.28.highmacro-d011622a,"2021 $/MMBtu",,25.50049,24.468082,21.677273,21.688612,21.660957,21.818251,22.288933,22.360399,22.594364,23.25453,23.427544,23.807182,23.822355,24.03968,24.216286,24.354525,24.7033,24.852755,24.940948,25.015551,25.303053,25.534607,25.800425,25.820517,25.953209,26.108044,26.117523,26.232061,26.517326,26.605663,"0.1%"
Low economic growth,"Energy Prices: Transportation: Motor Gasoline": Low economic growth,3-AEO2022.28.lowmacro-d011222a,"2021 $/MMBtu",,25.601877,24.565363,21.493347,21.215403,20.988325,21.024084,21.27173,21.474926,21.621035,21.978098,22.025633,22.533215,22.691988,22.783632,22.838297,22.848507,22.961647,23.119366,23.076828,23.419151,23.609715,23.784483,24.077662,24.27883,24.362089,24.594666,24.633295,24.708044,24.796278,24.566259,"-0.1%"
High oil price,"Energy Prices: Transportation: Motor Gasoline": High oil price,3-AEO2022.28.highprice-d011222a,"2021 $/MMBtu",,25.560938,32.815598,32.918686,33.052025,32.941525,33.711388,34.101406,34.379612,34.630627,34.593262,34.427135,34.623909,34.346897,34.673603,35.01461,35.073051,35.241428,35.208561,35.462139,35.503952,35.314701,35.589577,35.733845,35.695763,36.250523,36.33997,36.752522,37.122971,37.509075,38.017532,"1.4%"
Low oil price,"Energy Prices: Transportation: Motor Gasoline": Low oil price,3-AEO2022.28.lowprice-d011222a,"2021 $/MMBtu",,25.560938,18.851486,17.398663,16.833796,16.644535,16.563992,16.251169,16.453232,16.521944,16.661104,16.915867,17.050264,17.194065,17.289457,17.512051,17.603661,17.730234,17.816589,17.709892,17.68228,17.588079,17.640198,17.629707,17.742922,17.732483,17.784733,17.856468,17.878557,17.928673,18.018566,"-1.2%"
High oil and gas supply,"Energy Prices: Transportation: Motor Gasoline": High oil and gas supply,3-AEO2022.28.highogs-d011222a,"2021 $/MMBtu",,25.560938,24.526081,21.364878,20.632887,20.297907,20.395981,20.641216,20.711349,20.823906,21.092655,21.233198,21.411188,21.42956,21.419113,21.425404,21.434155,21.370646,21.521824,21.56671,21.962107,22.081829,22.136742,22.301872,22.426229,22.46225,22.613705,22.468721,22.566025,22.827154,23.054661,"-0.4%"
Low oil and gas supply,"Energy Prices: Transportation: Motor Gasoline": Low oil and gas supply,3-AEO2022.28.lowogs-d011222a,"2021 $/MMBtu",,25.560938,24.526081,21.627811,22.395193,22.562685,22.844782,23.229792,23.602493,24.526684,25.06179,25.444185,25.915836,26.254169,26.576654,26.709557,26.919363,27.132303,27.217834,27.406986,27.089914,26.977097,27.297611,27.564171,27.723099,28.109688,28.000519,27.978041,27.778776,27.985353,28.1406,"0.3%"
High renewables cost,"Energy Prices: Transportation: Motor Gasoline": High renewables cost,3-AEO2022.28.hirencst-d011322a,"2021 $/MMBtu",,25.560938,24.526081,21.602772,21.349545,21.107456,21.331892,21.619099,21.776062,22.033445,22.513851,22.787172,23.143274,23.173164,23.409914,23.59383,23.741669,23.887911,24.14184,24.14081,24.258423,24.42185,24.479582,24.747643,25.004139,25.120203,25.303917,25.388386,25.383194,25.214622,25.276121,"-0.0%"
Low renewables cost,"Energy Prices: Transportation: Motor Gasoline": Low renewables cost,3-AEO2022.28.lorencst-d011222a,"2021 $/MMBtu",,25.560938,24.526081,21.757053,21.477623,21.20759,21.437069,21.668238,21.923006,22.155577,22.649,22.971659,23.23629,23.372324,23.582249,23.711752,23.872559,24.071886,24.276648,24.323376,24.492325,24.646418,24.699862,24.918428,25.210474,25.314535,25.477341,25.549276,25.53322,25.538853,25.474543,"-0.0%"
No Interstate Pipeline Builds,"Energy Prices: Transportation: Motor Gasoline": No Interstate Pipeline Builds,3-AEO2022.28.ng_iif_final-d011322a,"2021 $/MMBtu",,25.560938,24.526081,21.716726,21.497028,21.21629,21.469215,21.67816,21.931667,22.185225,22.684278,22.986856,23.278397,23.398302,23.626144,23.729294,23.886665,24.047464,24.331944,24.332438,24.528887,24.683025,24.686392,24.954935,25.260939,25.342991,25.496389,25.535074,25.677105,25.56216,25.542997,"-0.0%"
Jet Fuel,"Energy Prices: Transportation: Jet Fuel",3-AEO2022.29.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Transportation: Jet Fuel": AEO2022 Reference case,3-AEO2022.29.ref2022-d011222a,"2021 $/MMBtu",,14.612163,15.129591,14.071358,15.164351,15.164463,15.27829,15.501832,15.774134,15.932621,15.909235,16.284626,16.466978,16.594555,16.69029,16.813318,17.020702,17.271994,17.433001,17.521465,17.670694,17.803316,17.834141,18.11129,18.420004,18.526072,18.727314,18.806927,18.781054,18.830021,18.753689,"0.9%"
High economic growth,"Energy Prices: Transportation: Jet Fuel": High economic growth,3-AEO2022.29.highmacro-d011622a,"2021 $/MMBtu",,14.577607,15.093812,13.733869,15.071453,15.149938,15.334259,15.725932,15.879676,16.003942,16.267817,16.522778,16.851742,16.937557,17.098824,17.315575,17.408928,17.758362,17.93367,18.081894,18.15136,18.471645,18.674675,18.999992,19.075397,19.200558,19.378916,19.397898,19.439922,19.598766,19.698532,"1.0%"
Low economic growth,"Energy Prices: Transportation: Jet Fuel": Low economic growth,3-AEO2022.29.lowmacro-d011222a,"2021 $/MMBtu",,14.635567,15.153823,13.817375,14.843563,14.92717,15.027757,15.233368,15.438308,15.580083,15.589515,15.867828,16.089691,16.142067,16.180433,16.139694,16.171963,16.392344,16.530489,16.573917,16.82719,17.022617,17.106562,17.408743,17.697969,17.718882,17.889793,17.872805,17.83256,17.942875,17.841064,"0.7%"
High oil price,"Energy Prices: Transportation: Jet Fuel": High oil price,3-AEO2022.29.highprice-d011222a,"2021 $/MMBtu",,14.612163,23.464899,24.883583,25.925941,26.291939,26.919344,27.194538,27.586092,27.874287,27.94701,27.757046,27.948019,28.041849,28.400944,28.799345,29.436226,29.947969,29.842169,30.207527,30.408756,30.459578,30.814796,31.052044,31.182327,31.587908,31.7969,32.227184,32.601776,32.918255,33.270313,"2.9%"
Low oil price,"Energy Prices: Transportation: Jet Fuel": Low oil price,3-AEO2022.29.lowprice-d011222a,"2021 $/MMBtu",,14.612163,8.753767,8.701614,8.924365,8.938733,8.992558,8.773953,9.046261,9.112167,9.243258,9.325386,9.429189,9.602035,9.619333,9.901009,9.994313,10.053934,10.005206,10.048648,9.988865,9.961854,9.950224,9.921195,10.025355,10.03827,10.055977,10.023487,10.038956,9.989142,10.124768,"-1.3%"
High oil and gas supply,"Energy Prices: Transportation: Jet Fuel": High oil and gas supply,3-AEO2022.29.highogs-d011222a,"2021 $/MMBtu",,14.612163,15.129591,13.649848,14.119962,14.041303,14.166007,14.391979,14.628523,14.770639,14.726559,14.850032,14.986973,14.971395,14.82549,14.852312,14.830823,14.868201,15.037049,15.041065,15.384366,15.531081,15.524541,15.849502,15.990872,16.064508,16.287764,16.187424,16.266521,16.525923,16.67594,"0.5%"
Low oil and gas supply,"Energy Prices: Transportation: Jet Fuel": Low oil and gas supply,3-AEO2022.29.lowogs-d011222a,"2021 $/MMBtu",,14.612163,15.129591,14.000683,15.404263,15.790845,16.046822,16.357996,16.947405,17.960627,18.247025,18.723099,19.105318,19.408438,19.600945,19.696468,19.897934,20.196777,20.291491,20.422356,20.128208,20.128679,20.231283,20.536137,20.73913,21.117157,21.235312,21.322258,21.155834,21.20001,21.273796,"1.3%"
High renewables cost,"Energy Prices: Transportation: Jet Fuel": High renewables cost,3-AEO2022.29.hirencst-d011322a,"2021 $/MMBtu",,14.612163,15.129591,13.914083,15.043296,15.086726,15.15337,15.417525,15.628953,15.76173,15.751975,16.098186,16.389393,16.424335,16.581236,16.710611,16.934353,17.15461,17.309914,17.380167,17.504126,17.616896,17.688341,17.950672,18.168421,18.280033,18.469925,18.531254,18.5336,18.524704,18.519793,"0.8%"
Low renewables cost,"Energy Prices: Transportation: Jet Fuel": Low renewables cost,3-AEO2022.29.lorencst-d011222a,"2021 $/MMBtu",,14.612163,15.129591,14.065862,15.144323,15.181722,15.282365,15.502957,15.779018,15.91399,15.832084,16.257139,16.33935,16.552458,16.685974,16.820995,17.032642,17.289284,17.42667,17.487839,17.701941,17.846146,17.900642,18.11742,18.430876,18.545053,18.740316,18.770576,18.771997,18.822924,18.739212,"0.9%"
No Interstate Pipeline Builds,"Energy Prices: Transportation: Jet Fuel": No Interstate Pipeline Builds,3-AEO2022.29.ng_iif_final-d011322a,"2021 $/MMBtu",,14.612163,15.129591,14.085063,15.153947,15.17945,15.283504,15.513436,15.78052,15.914168,15.817713,16.240797,16.416183,16.601818,16.739185,16.818363,17.001665,17.270535,17.432489,17.511534,17.725397,17.84001,17.874006,18.113556,18.386057,18.497169,18.686563,18.769056,18.729712,18.765867,18.736721,"0.9%"
Diesel Fuel (distillate fuel oil),"Energy Prices: Transportation: Diesel Fuel",3-AEO2022.30.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Transportation: Diesel Fuel": AEO2022 Reference case,3-AEO2022.30.ref2022-d011222a,"2021 $/MMBtu",,23.304951,22.497763,21.756731,22.58042,22.631441,22.69208,22.830153,23.008364,23.1416,23.10433,23.366293,23.471237,23.558819,23.591496,23.690083,23.878637,24.068533,24.199772,24.28491,24.490616,24.602983,24.609566,24.870735,25.155783,25.243643,25.418024,25.479643,25.430923,25.395124,25.321167,"0.3%"
High economic growth,"Energy Prices: Transportation: Diesel Fuel": High economic growth,3-AEO2022.30.highmacro-d011622a,"2021 $/MMBtu",,23.24984,22.444559,21.614197,22.604725,22.661999,22.753942,23.000751,23.139248,23.276808,23.501957,23.686396,23.945999,24.008034,24.167351,24.328514,24.441971,24.716595,24.839792,24.958441,25.07107,25.343739,25.549805,25.856449,25.896414,26.045506,26.220205,26.195459,26.242178,26.407742,26.476574,"0.4%"
Low economic growth,"Energy Prices: Transportation: Diesel Fuel": Low economic growth,3-AEO2022.30.lowmacro-d011222a,"2021 $/MMBtu",,23.342278,22.533796,21.685585,22.457983,22.598568,22.628212,22.76029,22.863129,22.974838,22.964596,23.103024,23.221743,23.309256,23.250898,23.23896,23.210253,23.36824,23.472509,23.455648,23.727791,23.89711,23.985384,24.226933,24.476763,24.520821,24.731075,24.707197,24.611071,24.696148,24.528778,"0.2%"
High oil price,"Energy Prices: Transportation: Diesel Fuel": High oil price,3-AEO2022.30.highprice-d011222a,"2021 $/MMBtu",,23.304951,30.861637,32.425793,33.60923,33.981773,34.551098,34.820911,35.027611,35.373722,35.335667,34.997959,35.104019,35.199402,35.556213,35.882782,36.466339,36.886719,36.761974,37.104218,37.220589,37.231018,37.53944,37.755222,37.874416,38.226597,38.428593,38.787682,39.132244,39.416542,39.752071,"1.9%"
Low oil price,"Energy Prices: Transportation: Diesel Fuel": Low oil price,3-AEO2022.30.lowprice-d011222a,"2021 $/MMBtu",,23.304951,16.640945,16.796135,16.94195,16.958302,16.871326,16.6819,16.850527,16.855696,16.966503,17.016338,17.073059,17.201929,17.177214,17.422743,17.380157,17.388712,17.215708,17.170938,17.109943,17.056805,16.975155,16.913448,16.978968,16.949995,16.952404,16.925001,16.945883,16.888807,17.042629,"-1.1%"
High oil and gas supply,"Energy Prices: Transportation: Diesel Fuel": High oil and gas supply,3-AEO2022.30.highogs-d011222a,"2021 $/MMBtu",,23.304951,22.497763,21.432203,21.775057,21.793627,21.844007,22.045105,22.165297,22.266499,22.232443,22.298891,22.341518,22.320398,22.126078,22.113756,22.124783,22.157412,22.21056,22.211601,22.501848,22.648062,22.681585,22.90847,22.972309,23.043688,23.266438,23.158073,23.218868,23.444277,23.500214,"0.0%"
Low oil and gas supply,"Energy Prices: Transportation: Diesel Fuel": Low oil and gas supply,3-AEO2022.30.lowogs-d011222a,"2021 $/MMBtu",,23.304951,22.497763,21.740128,22.950481,23.357567,23.59584,23.900036,24.272945,25.264071,25.550167,25.899164,26.22966,26.456419,26.637592,26.686501,26.93137,27.128292,27.160318,27.33098,27.004663,26.99118,27.061621,27.360989,27.515284,27.821066,27.964279,27.980221,27.886253,27.891769,28.003666,"0.6%"
High renewables cost,"Energy Prices: Transportation: Diesel Fuel": High renewables cost,3-AEO2022.30.hirencst-d011322a,"2021 $/MMBtu",,23.304951,22.497763,21.720459,22.602371,22.708307,22.720304,22.90855,23.055626,23.153959,23.133949,23.39296,23.519926,23.561152,23.626919,23.725447,23.930674,24.105854,24.226847,24.289082,24.48061,24.611279,24.661289,24.886875,25.107826,25.170879,25.37685,25.416607,25.376303,25.352501,25.312916,"0.3%"
Low renewables cost,"Energy Prices: Transportation: Diesel Fuel": Low renewables cost,3-AEO2022.30.lorencst-d011222a,"2021 $/MMBtu",,23.304951,22.497763,21.741543,22.562197,22.643314,22.677563,22.825794,23.011194,23.113907,23.112749,23.372416,23.454544,23.577991,23.597593,23.695253,23.882513,24.130938,24.21389,24.266211,24.499487,24.650471,24.675783,24.874275,25.160229,25.255774,25.416185,25.436422,25.392365,25.394976,25.298006,"0.3%"
No Interstate Pipeline Builds,"Energy Prices: Transportation: Diesel Fuel": No Interstate Pipeline Builds,3-AEO2022.30.ng_iif_final-d011322a,"2021 $/MMBtu",,23.304951,22.497763,21.77648,22.587719,22.648485,22.692204,22.842299,23.014177,23.120193,23.097469,23.363348,23.468573,23.569298,23.604523,23.696468,23.860569,24.09449,24.23247,24.286806,24.48971,24.646042,24.639324,24.870909,25.120054,25.213995,25.386194,25.435678,25.359285,25.360146,25.303936,"0.3%"
Residual Fuel Oil,"Energy Prices: Transportation: Residual Fuel Oil",3-AEO2022.31.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Transportation: Residual Fuel Oil": AEO2022 Reference case,3-AEO2022.31.ref2022-d011222a,"2021 $/MMBtu",,8.374436,6.923325,9.604753,10.544333,10.675747,10.844517,11.187315,11.392326,11.493246,11.649709,11.832388,11.974248,12.096605,12.111712,12.133466,12.070888,11.997877,12.238916,12.102692,12.611735,12.777218,12.91206,13.269023,13.50332,13.575322,13.745456,13.798951,13.780993,13.791503,13.750208,"1.7%"
High economic growth,"Energy Prices: Transportation: Residual Fuel Oil": High economic growth,3-AEO2022.31.highmacro-d011622a,"2021 $/MMBtu",,8.354716,6.908909,9.491302,10.512644,10.71506,10.924658,11.367205,11.468692,11.593379,11.746733,11.842084,11.961325,12.087103,12.091058,12.275116,12.318518,12.314569,12.519297,12.373855,13.354417,13.586947,13.718944,14.122964,14.145538,14.183483,14.610659,14.411442,14.293426,14.32602,14.287313,"1.9%"
Low economic growth,"Energy Prices: Transportation: Residual Fuel Oil": Low economic growth,3-AEO2022.31.lowmacro-d011222a,"2021 $/MMBtu",,8.387742,6.928591,9.425846,10.346957,10.54774,10.667746,11.052072,11.176507,11.279889,11.414575,11.515937,11.705152,11.805411,11.848495,11.913195,11.947518,11.859615,11.96734,11.906367,12.465889,12.592354,12.617248,12.841367,13.07918,13.118173,13.291928,13.304884,13.274175,13.342002,13.26954,"1.6%"
High oil price,"Energy Prices: Transportation: Residual Fuel Oil": High oil price,3-AEO2022.31.highprice-d011222a,"2021 $/MMBtu",,8.374759,17.082251,18.664244,19.717236,20.117493,20.752705,21.288866,21.723207,21.9979,22.028305,22.046595,22.214363,22.161106,22.372356,22.978746,23.278149,23.632624,23.568825,23.955336,23.99444,23.927872,24.175774,24.412268,24.517279,24.804672,24.911682,25.202667,25.446856,25.688276,26.022219,"4.0%"
Low oil price,"Energy Prices: Transportation: Residual Fuel Oil": Low oil price,3-AEO2022.31.lowprice-d011222a,"2021 $/MMBtu",,8.374708,5.628413,5.674627,6.134881,6.291321,6.377358,6.273122,6.497389,6.55768,6.678644,6.770162,6.852688,6.993643,7.00285,7.249284,7.316767,7.370083,7.347805,7.370984,7.354076,7.326386,7.303777,7.307743,7.412569,7.42618,7.472982,7.483896,7.517456,7.502326,7.639273,"-0.3%"
High oil and gas supply,"Energy Prices: Transportation: Residual Fuel Oil": High oil and gas supply,3-AEO2022.31.highogs-d011222a,"2021 $/MMBtu",,8.374529,6.921412,9.280496,10.010603,10.080761,10.28506,10.60821,10.762465,10.864717,10.9359,11.021671,11.130441,11.175542,11.128913,11.150068,11.178093,11.186557,11.326054,11.33217,11.642389,11.824081,11.875124,12.016585,12.131835,12.194332,12.410597,12.310609,12.359961,12.522936,12.576996,"1.4%"
