OBJECTID,FID_J5ADCCAE55F1F458CB72D43BBA0,FID_JCEC669FB3C1942769A246F54CA,FID_JD5A3B0BAC9964E2A82FC17D52C,FID_JCFB10F4860614B8C9C6755F87E,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,NO_FARMS17,AVE_SIZE17,CROP_ACR17,AVE_SALE17,Shape_Leng,County,Zone,FID_JC691A5DE512F41389BD7E7BF18,price region,Count_,Area in Square Miles,FID_WI_MUNI_UTILITY_BOUNDARIES_,CODE,COLOR,UTIL_LAB,Util_Type,PSC_ID,AREA,PERIMETER,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,PHONE,WEB,DATA_DATE,GIS_DATA,Shape_Leng,LABEL,FID_COOP_UTILITY_BOUNDARIES_COO,CODE,COLOR,UTIL_LAB,Util_Type,PSC_ID,AREA,PERIMETER,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,PHONE,WEB,DATA_DATE,GIS_DATA,Shape_Leng,LABEL,FID_WI_IOU_UTILITY_BOUNDARIES_W,CITY,CODE,UTIL_LAB,PSC_ID,AREA,PERIMETER,DATA_DATE,GIS_DATA,ADDRESS_1,ADDRESS_2,STATE,ZIP,PHONE,WEB,Shape_Leng,UTIL_TYPE,LABEL
366,91,92,92,56,St. Croix County,Wisconsin,55,109,55109,92386,125.7,84345,114.7,80914,552,313,900,23,1692,483,1160,42218,42127,6166,6705,6396,5361,3924,11542,12640,13616,9527,4672,2637,1159,36.7,36.1,37.2,31799,2.63,3215,3601,8884,10052,1025,1832,23014,3.07,33983,2184,24754,7045,1417,189,196082,151251,735.19,1444,193,216465,130944,2.05050503,St. Croix,7,2,1,416,1.48985344,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
367,352,52,52,29,Juneau County,Wisconsin,55,57,55057,27128,33.7,26664,33.2,25077,557,398,115,7,687,188,322,14029,12635,1457,1548,1622,1601,1274,2978,3387,4447,3673,2612,1441,624,43.5,42.6,44.7,10527,2.38,1485,1512,1824,3424,350,658,6810,2.89,14669,4142,7908,2619,827,218,108817,150871,805.17,715,245,113995,163295,2.57801329,Juneau,8,4,3,160,225.8066293,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,15,C-12,83,OAKDALE ELECTRIC COOPERATIVE,Cooperative,4320,1361.977719,418.2959797,PO Box 128,489 N Oakwood Street,Oakdale,WI,54649-0128,608-372-4131,https://www.oakdalerec.com,7/15/09 0:00,X,673183.4715,Oakdale Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
368,340,48,48,27,Jackson County,Wisconsin,55,53,55053,20257,20.2,20449,20.4,18258,400,1271,53,20,519,144,303,10874,9575,1252,1294,1277,1246,1067,2482,2638,3183,2707,1832,1044,427,41.4,40.4,42.6,7843,2.44,1096,1017,1487,2581,275,514,5236,2.93,9727,1884,5917,1926,864,278,139347,196263,1000.48,855,290,135568,180293,2.77350478,Jackson,7,4,3,160,4.98886832,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,10,C-06,83,CLARK ELECTRIC COOPERATIVE,Cooperative,1144,1225.566137,375.4412319,PO Box 190,124 N Main Street,Greenwood,WI,54437-0190,715-267-6188,https://www.cecoop.com,7/13/09 0:00, ,604215.3023,Clark Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
369,103,106,106,63,Vernon County,Wisconsin,55,123,55123,31029,38,29773,36.5,29085,109,61,92,7,394,145,274,14854,14919,2121,2257,2190,1987,1281,2965,3328,4707,3975,2528,1683,751,41.4,40.9,42,11616,2.53,1511,1665,2607,3958,302,580,7893,3.1,13720,2104,9165,2451,2228,155,181510,99359,816.38,1961,172,196566,92577,2.5226673,Vernon,9,2,1,416,0.0016518,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
370,289,18,18,9,Chippewa County,Wisconsin,55,17,55017,65828,63.2,62415,59.9,59504,982,310,774,14,800,182,649,32404,30011,4117,4024,4045,3914,3335,7883,8098,9965,8099,4664,2966,1305,40.1,39,41.2,24410,2.45,2943,3343,5216,8185,737,1506,16677,2.93,27185,2775,18203,6207,1757,219,249869,144107,1041.27,1409,253,243035,152830,2.35891993,Chippewa,4,4,3,160,0.06902474,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,10,C-06,83,CLARK ELECTRIC COOPERATIVE,Cooperative,1144,1225.566137,375.4412319,PO Box 190,124 N Main Street,Greenwood,WI,54437-0190,715-267-6188,https://www.cecoop.com,7/13/09 0:00, ,604215.3023,Clark Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
371,395,87,87,53,Richland County,Wisconsin,55,103,55103,17678,30,18021,30.6,17540,82,46,95,4,360,119,135,9042,8979,1175,1184,1103,1253,862,1866,2021,2709,2603,1619,1087,539,42.8,41.2,44.3,7349,2.41,965,1115,1387,2504,241,385,4852,2.93,8868,1519,5482,1867,1260,181,111825,91627,589.3,1103,200,118484,123891,1.75845132,Richland,9,2,1,416,3.04724815,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,16,C-23,83,VERNON ELECTRIC COOPERATIVE,Cooperative,6080,926.5649281,392.060786, ,110 Saugstad Road,Westby,WI,54667-8426,608-634-3121,https://www.vernonelectric.org,11/23/09 0:00,X,630961.9356,Vernon Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
372,97,100,100,59,Shawano County,Wisconsin,55,115,55115,41831,46,41949,46.1,37254,143,3172,180,13,905,366,821,20921,21028,2443,2648,2725,2723,2013,4382,5285,6589,5461,4104,2482,1094,42.8,42.1,43.6,17019,2.42,2110,2412,3327,5844,524,1036,11566,2.91,20720,3701,12999,4020,1278,204,183461,198858,909.4,1139,217,186192,219851,2.85573694,Shawano,3,2,1,416,8.85473403,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
373,197,202,61,37,Marathon County,Wisconsin,55,73,55073,136334,86.5,134063,85,122446,841,634,7146,32,2992,1223,1741,67308,66755,8771,8886,9320,9305,7100,16363,17712,20965,16653,9675,6247,3066,39.4,38.3,40.4,53176,2.49,6499,7199,11781,17470,1628,3066,36326,3,57734,4558,39090,14086,2266,211,320051,172605,1576.33,2237,212,322853,184888,3.05691312,Marathon,5,3,2,176,5.33007089,12,M-69,31,STRATFORD MUNICIPAL WATER & ELECTRIC UTILITY,Municipal,5760,5.32547676,9.332416302,PO Box 12,212 S 3rd Avenue,Stratford,WI,54484-0012,715-687-4118,https://www.stratfordwi.com/?SEC=7EC5808B-1BA1-4049-8825-06B2EDF2E43F,11/27/12 0:00, ,16018.56189,Stratford Municipal Water & Electric Utility,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
374,246,252,119,72,Wood County,Wisconsin,55,141,55141,74976,92.6,74749,92.4,71048,393,587,1319,9,1680,593,800,36777,37972,4482,4451,4848,4949,3913,8249,8973,12281,9841,6280,4305,2177,42.4,41.2,43.7,31598,2.34,4126,5202,6017,10401,853,1995,20577,2.87,34088,2490,23129,8469,1067,209,132947,150256,809.25,1062,208,128114,132857,2.05727492,Wood,8,3,2,176,32.3086324,17,M-81,31,WISCONSIN RAPIDS WATERWORKS & LIGHT,Municipal,6700,67.10207168,55.54488582,PO Box 399,221 16th Street South,Wisconsin Rapids,WI,54494-0399,715-423-6300,https://www.wrwwlc.com/,1/26/15 0:00,X,89391.0075,Wisconsin Rapids Waterworks & Light,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
375,475,224,95,57,Sauk County,Wisconsin,55,111,55111,64856,76.4,61976,73,58588,357,769,337,13,2675,1156,756,30848,31128,3979,4014,4170,3930,3336,7734,8044,9545,7936,4769,2962,1557,39.9,38.5,41.4,25192,2.43,3082,3805,5191,7832,850,1637,16634,2.94,29708,4516,17690,7502,1665,200,209776,124356,849.19,1412,212,197736,133470,2.33447792,Sauk,9,2,1,416,0.00000048,63,M-82,9,WONEWOC ELECTRIC & WATER UTILITY,Municipal,6760,1.12673047,5.919729156,PO Box 37, ,Wonewoc,WI,53968-0037,608-464-3114,https://www.wonewocwisc.com/public-works-department/,2/5/19 0:00, ,9526.899652,Wonewoc Electric & Water Utility,16,C-23,83,VERNON ELECTRIC COOPERATIVE,Cooperative,6080,926.5649281,392.060786, ,110 Saugstad Road,Westby,WI,54667-8426,608-634-3121,https://www.vernonelectric.org,11/23/09 0:00,X,630961.9356,Vernon Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
376,214,219,89,54,Rock County,Wisconsin,55,105,55105,163816,225.6,160331,220.8,140513,7978,516,1630,39,12124,5948,3707,78815,81516,10445,11116,11427,11581,9409,20159,21393,24117,18925,11466,7256,3037,37.9,36.8,39,62905,2.5,7277,9252,12896,18261,2287,5564,42416,3,68422,5517,44380,18525,1509,234,303657,181858,726.16,1587,223,302797,185539,1.87766631,Rock,10,2,1,416,0.30836108,80,M-68,9,STOUGHTON ELECTRIC UTILITY,Municipal,5740,46.26750244,53.08298912,PO Box 383,600 S Fourth Street,Stoughton,WI,53589-0383,608-873-3379,https://www.stoughtonutilities.com/,12/19/19 0:00,X,85428.9609,Stoughton Electric Utility,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
377,143,148,24,13,Dane County,Wisconsin,55,25,55025,557909,450.8,488073,394.1,413631,25347,1730,23035,166,28925,12064,12100,241411,246662,30240,29874,28873,32869,47252,78853,64784,68809,56375,26559,15811,7774,34.5,33.5,35.5,203750,2.33,27923,34266,40360,51561,4509,12258,116752,2.95,216022,12272,121509,82241,2749,183,396321,171553,1237.5,2566,197,410309,198392,2.52842027,Dane,10,2,1,416,0.01431092,44,M-41,31,MAZOMANIE ELECTRIC UTILITY,Municipal,3470,3.87988252,11.21385048,PO Box 26,133 Crescent Road,Mazomanie,WI,53560-0026,608-795-2100,http://www.villageofmazomaniewi.gov/links/utilities/,2/5/19 0:00, ,18046.97908,Mazomanie Electric Utility,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
378,452,119,119,72,Wood County,Wisconsin,55,141,55141,74976,92.6,74749,92.4,71048,393,587,1319,9,1680,593,800,36777,37972,4482,4451,4848,4949,3913,8249,8973,12281,9841,6280,4305,2177,42.4,41.2,43.7,31598,2.34,4126,5202,6017,10401,853,1995,20577,2.87,34088,2490,23129,8469,1067,209,132947,150256,809.25,1062,208,128114,132857,2.05727492,Wood,8,3,2,176,33.69728507,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,10,C-06,83,CLARK ELECTRIC COOPERATIVE,Cooperative,1144,1225.566137,375.4412319,PO Box 190,124 N Main Street,Greenwood,WI,54437-0190,715-267-6188,https://www.cecoop.com,7/13/09 0:00, ,604215.3023,Clark Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
379,120,123,-1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0301993,16,M-01,9,ALGOMA UTILITY COMMISSION,Municipal,50,3.27862627,10.10751929, ,1407 Flora Avenue,Algoma,WI,54201,920-487-5556,https://www.algomautilities.com/,11/7/12 0:00, ,16266.50806,Algoma Utility Commission,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
380,237,242,108,64,Vilas County,Wisconsin,55,125,55125,21742,21.4,21430,21.1,18658,35,2370,61,1,268,45,260,10861,10569,956,1014,1062,1184,738,1639,2205,3461,3615,3124,1800,632,50.7,49.7,51.5,9658,2.2,1398,1377,1273,3865,254,508,6332,2.66,25116,15458,7722,1936,47,146,2805,216895,1017.72,67,84,3326,103854,2.91888941,Vilas,2,3,2,176,2.51176893,77,M-22,9,EAGLE RIVER LIGHT & WATER COMMISSION,Municipal,1710,3.52774764,17.2557294,PO Box 1269,525 E Maple Street,Eagle River,WI,54521-1269,715-479-8121,https://eagleriver.govoffice2.com/?SEC=39170875-43DB-4CA7-B35B-E613F75401C2,2/5/19 0:00,X,27770.46012,Eagle River Light & Water Commission,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
381,166,171,41,23,Green County,Wisconsin,55,45,55045,37234,63.7,36842,63,35593,140,65,198,11,1033,490,345,18241,18601,2354,2508,2511,2371,1599,4126,4901,6069,4906,2765,1854,878,41.2,40.3,42.1,14866,2.45,1719,2101,3403,4882,452,850,10172,2.94,15856,990,11192,3674,1545,196,238606,129669,584.55,1428,205,239493,154796,1.64983686,Green,10,2,1,416,6.77704381,52,M-25,31,EVANSVILLE WATER & LIGHT,Municipal,1880,59.54801947,43.26201242,PO Box 76,31 S Madison Street,Evansville,WI,53536-0076,608-882-2280,http://www.ci.evansville.wi.gov/services_by_department/municipal_utility/,11/9/12 0:00, ,69623.59937,Evansville Water & Light,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
382,383,80,80,48,Pierce County,Wisconsin,55,93,55093,43559,73.5,41019,69.3,39614,232,151,301,7,623,201,513,20420,20599,2414,2535,2556,3836,4659,4710,5053,6247,4726,2363,1315,605,34.5,34.8,34.3,15002,2.55,1710,1610,3532,4783,459,783,10188,2.97,16132,1130,11115,3887,1259,195,166276,141901,592.73,1229,190,166265,121535,1.85679885,Pierce,7,4,3,160,0.39311989,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,7,C-07,83,DUNN ENERGY COOPERATIVE,Cooperative,1688,856.1823572,311.1502716,PO Box 220,N5725 600th Street,Menomonie,WI,54751-0220,715-232-6240,https://www.dunnenergy.com,2/17/15 0:00,X,500748.8242,Dunn Energy Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
383,312,29,29,17,Dunn County,Wisconsin,55,33,55033,45705,52.9,43857,50.8,41545,220,168,1143,15,626,228,538,22133,21724,2422,2497,2566,4186,5997,4983,4947,5897,5039,2754,1721,848,33.5,32.5,34.5,16373,2.47,2019,2185,3310,5128,451,811,10289,2.95,17964,1591,11084,5289,1404,265,252539,187452,863.89,1288,270,240765,165326,2.06137353,Dunn,7,2,1,416,0.0698514,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,6,C-21,83,ST CROIX ELECTRIC COOPERATIVE,Cooperative,5195,697.9765553,158.8337599, ,1925 Ridgeway Street,Hammond,WI,54015-5038,800-924-3407,https://www.scecnet.net,12/5/12 0:00,X,255618.6698,St Croix Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
384,306,24,24,13,Dane County,Wisconsin,55,25,55025,557909,450.8,488073,394.1,413631,25347,1730,23035,166,28925,12064,12100,241411,246662,30240,29874,28873,32869,47252,78853,64784,68809,56375,26559,15811,7774,34.5,33.5,35.5,203750,2.33,27923,34266,40360,51561,4509,12258,116752,2.95,216022,12272,121509,82241,2749,183,396321,171553,1237.5,2566,197,410309,198392,2.52842027,Dane,10,2,1,416,30.28162891,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,18,C-01,83,ADAMS-COLUMBIA ELECTRIC COOPERATIVE,Cooperative,23,1921.123267,1035.248779,PO Box 70,401 E Lake Street,Friendship,WI,53934-0070,608-339-3346,https://www.acecwi.com,7/24/09 0:00,X,1666074.743,Adams-Columbia Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
385,360,59,59,35,Lincoln County,Wisconsin,55,69,55069,28182,31.1,28743,31.7,27929,157,100,124,10,340,131,292,14412,14331,1471,1602,1870,1996,1169,2798,3576,5078,3914,2740,1740,789,44.7,43.7,45.7,12094,2.33,1555,1742,2224,4380,381,671,8176,2.81,16784,4690,9318,2776,449,171,38249,66588,906.79,426,184,43032,86838,2.10474371,Lincoln,5,3,2,176,16.59578335,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,4,C-22,83,TAYLOR ELECTRIC COOPERATIVE,Cooperative,5838,620.8653908,153.9796177, ,N1831 STH 13,Medford,WI,54451-9208,715-678-2411,https://www.taylorelectric.org,12/7/12 0:00,X,247806.6695,Taylor Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
386,329,41,41,23,Green County,Wisconsin,55,45,55045,37234,63.7,36842,63,35593,140,65,198,11,1033,490,345,18241,18601,2354,2508,2511,2371,1599,4126,4901,6069,4906,2765,1854,878,41.2,40.3,42.1,14866,2.45,1719,2101,3403,4882,452,850,10172,2.94,15856,990,11192,3674,1545,196,238606,129669,584.55,1428,205,239493,154796,1.64983686,Green,10,2,1,416,31.13586525,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,22,C-20,24,SCENIC RIVERS ENERGY COOPERATIVE,Cooperative,2318,2289.216872,435.9003487, ,231 N Sheridan Street,Lancaster,WI,53813-1342,608-723-2121,https://www.sre.coop,7/15/09 0:00,X,701515.0138,Scenic Rivers Energy Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
387,429,103,103,61,Taylor County,Wisconsin,55,119,55119,20760,21.1,20689,21,20248,58,43,56,8,316,128,148,10559,10130,1359,1445,1367,1342,978,2213,2576,3510,2565,1657,1113,564,41.7,40.9,42.5,8388,2.44,1151,1101,1796,2897,274,364,5689,2.96,10582,2194,6693,1695,967,224,119997,141155,984.56,893,253,133702,126517,2.46447138,Taylor,5,3,2,176,73.92192816,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,10,C-06,83,CLARK ELECTRIC COOPERATIVE,Cooperative,1144,1225.566137,375.4412319,PO Box 190,124 N Main Street,Greenwood,WI,54437-0190,715-267-6188,https://www.cecoop.com,7/13/09 0:00, ,604215.3023,Clark Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
388,260,1,1,1,Adams County,Wisconsin,55,1,55001,21223,30.9,20875,30.3,19409,633,205,82,4,783,266,276,11221,9654,849,889,1019,1059,840,2053,2374,3381,3512,2995,1481,423,49.1,47.4,51,8666,2.24,1301,1097,1117,3535,237,416,5755,2.68,17436,8770,7203,1463,313,378,87541,337599,687.48,308,381,84544,425646,2.1256773,Adams,8,2,1,416,334.5628357,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,18,C-01,83,ADAMS-COLUMBIA ELECTRIC COOPERATIVE,Cooperative,23,1921.123267,1035.248779,PO Box 70,401 E Lake Street,Friendship,WI,53934-0070,608-339-3346,https://www.acecwi.com,7/24/09 0:00,X,1666074.743,Adams-Columbia Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
389,406,91,91,55,Rusk County,Wisconsin,55,107,55107,15008,16.1,14755,15.9,14398,61,74,41,1,173,37,143,7371,7384,813,868,954,1004,575,1332,1658,2393,2194,1515,999,450,45.7,45,46.6,6232,2.34,911,972,1074,2125,196,331,4013,2.89,8883,2651,4770,1462,529,253,70073,121366,930.86,501,272,70661,107354,2.4177567,Rusk,4,4,3,160,210.0762334,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,23,C-11,83,JUMP RIVER ELECTRIC COOPERATIVE,Cooperative,2777,1140.657743,424.4593765,PO Box 99,1102 W 9th Street N,Ladysmith,WI,54848-0099,715-532-5524,https://www.jrec.net/,8/13/09 0:00, ,683102.517,Jump River Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
390,283,14,14,7,Burnett County,Wisconsin,55,13,55013,15509,17.6,15457,17.6,14163,81,718,52,3,194,67,373,7806,7651,792,765,907,889,561,1288,1617,2450,2619,2138,1104,327,49,48.7,49.3,6807,2.25,1016,919,957,2607,230,364,4475,2.71,15278,8471,5576,1231,406,206,44395,91625,880.22,369,242,48965,102835,2.78488077,Burnett,4,4,3,160,20.49283584,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,21,C-08,83,EAST CENTRAL ENERGY COOPERATIVE,Cooperative,2515,569.275531,385.0506029,PO Box 39,3617 E Baumgartner Road,Superior,WI,54880-8384,800-254-7944,https://www.eastcentralenergy.com,7/14/09 0:00,X,619680.1168,East Central Energy Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
391,469,212,79,48,Pierce County,Wisconsin,55,93,55093,43559,73.5,41019,69.3,39614,232,151,301,7,623,201,513,20420,20599,2414,2535,2556,3836,4659,4710,5053,6247,4726,2363,1315,605,34.5,34.8,34.3,15002,2.55,1710,1610,3532,4783,459,783,10188,2.97,16132,1130,11115,3887,1259,195,166276,141901,592.73,1229,190,166265,121535,1.85679885,Pierce,7,2,1,416,0.68759922,81,M-61,31,RIVER FALLS MUNICIPAL UTILITY,Municipal,5110,15.72239461,25.73026839, ,"222 Lewis Street, Suite 228",River Falls,WI,54022,715-425-0906,https://www.rfmu.org/581/Utilities,12/19/19 0:00,X,41408.93587,River Falls Municipal Utility,9,C-14,83,PIERCE-PEPIN ELECTRIC COOPERATIVE SERVICES,Cooperative,4646,607.3642169,196.8380342,PO Box 420,W7725 USH 10,Ellsworth,WI,54011-0420,715-273-4355,https://www.piercepepin.com,8/10/09 0:00,X,316780.743,Pierce-Pepin Electric Cooperative Services,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
392,114,117,117,71,Winnebago County,Wisconsin,55,139,55139,173572,300,166994,288.6,154445,2975,1036,3822,58,5784,2188,2470,83952,83042,9866,9944,9972,12033,14187,21920,21429,25560,19747,11159,7576,3601,37.7,36.7,38.9,67875,2.34,9246,11030,13080,19385,1848,4238,41523,2.91,73329,5454,45036,22839,1117,139,126153,113315,578.57,957,169,136192,127710,1.66402946,Winnebago,6,2,1,416,0.0038169,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
393,20,20,20,10,Clark County,Wisconsin,55,19,55019,35346,29,34690,28.5,33338,80,174,127,8,1292,773,190,17577,17113,2913,2799,2772,2468,1816,3773,3891,4905,3940,2556,1887,970,37.1,35.9,38.3,12679,2.69,1545,1661,3107,4269,373,575,8884,3.26,15076,2397,10122,2557,2317,198,310919,173441,1218.67,2095,215,323806,192889,2.4345185,Clark,5,4,3,160,39.87103198,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
394,423,98,98,58,Sawyer County,Wisconsin,55,113,55113,16840,12.5,16557,12.3,13123,77,2757,49,0,268,42,509,8393,8164,971,903,934,982,725,1457,1795,2656,2705,2033,1032,364,47,46.6,47.5,7038,2.31,1052,911,993,2523,244,530,4656,2.77,15975,8937,5344,1694,172,253,21896,147145,1350.24,175,263,26032,125089,2.78300879,Sawyer,4,4,3,160,5.76009187,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,24,C-02,83,BARRON ELECTRIC COOPERATIVE,Cooperative,378,1484.802432,286.3906214,PO Box 40,1434 STH 25 N,Barron,WI,54812-0261,800-322-1008,https://www.barronelectric.com,12/21/20 0:00,X,460901.95,Barron Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
395,266,4,4,2,Ashland County,Wisconsin,55,3,55003,15608,14.8,16157,15.3,13662,48,1791,59,4,302,56,537,8082,8075,1001,1014,1084,1136,1121,1856,1750,2490,2138,1307,851,409,40.3,38.8,41.7,6736,2.31,1077,1107,1087,1857,233,540,4091,2.9,9656,2920,4697,2039,187,245,21243,64363,1054.13,263,199,24712,66806,6.15642649,Ashland,2,3,2,176,182.4618437,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,2,C-16,83,PRICE ELECTRIC COOPERATIVE,Cooperative,4874,1807.612179,300.5748382,PO Box 110,508 N Lake Avenue,Phillips,WI,54555-0110,715-339-2155,https://www.price-electric.com,7/15/09 0:00,X,483729.2798,Price Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
396,412,93,93,56,St. Croix County,Wisconsin,55,109,55109,92386,125.7,84345,114.7,80914,552,313,900,23,1692,483,1160,42218,42127,6166,6705,6396,5361,3924,11542,12640,13616,9527,4672,2637,1159,36.7,36.1,37.2,31799,2.63,3215,3601,8884,10052,1025,1832,23014,3.07,33983,2184,24754,7045,1417,189,196082,151251,735.19,1444,193,216465,130944,2.05050503,St. Croix,7,4,3,160,3.95792616,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,6,C-21,83,ST CROIX ELECTRIC COOPERATIVE,Cooperative,5195,697.9765553,158.8337599, ,1925 Ridgeway Street,Hammond,WI,54015-5038,800-924-3407,https://www.scecnet.net,12/5/12 0:00,X,255618.6698,St Croix Electric Cooperative,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,
